UniProt_AC,Gene,Matrisome_Division,Matrisome_Category
J3QLQ9,CCL13,Matrisome-associated,Secreted Factors
Q99616,CCL13,Matrisome-associated,Secreted Factors
K7END2,CCL14,Matrisome-associated,Secreted Factors
Q16627,CCL14,Matrisome-associated,Secreted Factors
H7BYL4,CCL15,Matrisome-associated,Secreted Factors
Q16663,CCL15,Matrisome-associated,Secreted Factors
H0YCC1,CCL16,Matrisome-associated,Secreted Factors
K7ELY7,CCL16,Matrisome-associated,Secreted Factors
O15467,CCL16,Matrisome-associated,Secreted Factors
Q92583,CCL17,Matrisome-associated,Secreted Factors
P55774,CCL18,Matrisome-associated,Secreted Factors
Q5VZ75,CCL19,Matrisome-associated,Secreted Factors
Q99731,CCL19,Matrisome-associated,Secreted Factors
J3KRT7,CCL2,Matrisome-associated,Secreted Factors
P13500,CCL2,Matrisome-associated,Secreted Factors
P78556,CCL20,Matrisome-associated,Secreted Factors
O00585,CCL21,Matrisome-associated,Secreted Factors
Q5VZ73,CCL21,Matrisome-associated,Secreted Factors
O00626,CCL22,Matrisome-associated,Secreted Factors
K7EMG9,CCL23,Matrisome-associated,Secreted Factors
P55773,CCL23,Matrisome-associated,Secreted Factors
O00175,CCL24,Matrisome-associated,Secreted Factors
C9JDZ7,CCL25,Matrisome-associated,Secreted Factors
O15444,CCL25,Matrisome-associated,Secreted Factors
Q9Y258,CCL26,Matrisome-associated,Secreted Factors
Q9Y4X3,CCL27,Matrisome-associated,Secreted Factors
D6RC73,CCL28,Matrisome-associated,Secreted Factors
Q9NRJ3,CCL28,Matrisome-associated,Secreted Factors
P10147,CCL3,Matrisome-associated,Secreted Factors
A8MVB7,CCL3L3,Matrisome-associated,Secreted Factors
P16619,CCL3L3,Matrisome-associated,Secreted Factors
P13236,CCL4,Matrisome-associated,Secreted Factors
Q7M4M2,CCL4,Matrisome-associated,Secreted Factors
F8W8U7,CCL4L1,Matrisome-associated,Secreted Factors
F8WAL9,CCL4L1,Matrisome-associated,Secreted Factors
Q8NHW4,CCL4L1,Matrisome-associated,Secreted Factors
F8W8W8,CCL4L2,Matrisome-associated,Secreted Factors
Q8NHW4,CCL4L2,Matrisome-associated,Secreted Factors
K7EJM0,CCL5,Matrisome-associated,Secreted Factors
P13501,CCL5,Matrisome-associated,Secreted Factors
A8MVH1,CCL7,Matrisome-associated,Secreted Factors
A8MX17,CCL7,Matrisome-associated,Secreted Factors
P80098,CCL7,Matrisome-associated,Secreted Factors
Q7Z7Q8,CCL7,Matrisome-associated,Secreted Factors
P80075,CCL8,Matrisome-associated,Secreted Factors
P0CG37,CFC1,Matrisome-associated,Secreted Factors
P0CG36,CFC1B,Matrisome-associated,Secreted Factors
B7Z6F4,CHRD,Matrisome-associated,Secreted Factors
E7ESX1,CHRD,Matrisome-associated,Secreted Factors
Q9H2X0,CHRD,Matrisome-associated,Secreted Factors
D3YTA8,CHRDL1,Matrisome-associated,Secreted Factors
Q9BU40,CHRDL1,Matrisome-associated,Secreted Factors
A8MQ10,CHRDL2,Matrisome-associated,Secreted Factors
H0YCU0,CHRDL2,Matrisome-associated,Secreted Factors
H0YDT1,CHRDL2,Matrisome-associated,Secreted Factors
Q6WN33,CHRDL2,Matrisome-associated,Secreted Factors
Q6WN34,CHRDL2,Matrisome-associated,Secreted Factors
Q9UBD9,CLCF1,Matrisome-associated,Secreted Factors
P26441,CNTF,Matrisome-associated,Secreted Factors
D6RHH7,CRHBP,Matrisome-associated,Secreted Factors
P24387,CRHBP,Matrisome-associated,Secreted Factors
M0QZL6,CRLF1,Matrisome-associated,Secreted Factors
O75462,CRLF1,Matrisome-associated,Secreted Factors
B4DJU5,CRLF3,Matrisome-associated,Secreted Factors
J3KST8,CRLF3,Matrisome-associated,Secreted Factors
J3QLS9,CRLF3,Matrisome-associated,Secreted Factors
Q8IUI8,CRLF3,Matrisome-associated,Secreted Factors
Q9UBG3,CRNN,Matrisome-associated,Secreted Factors
E9PJA2,CSF1,Matrisome-associated,Secreted Factors
E9PKP4,CSF1,Matrisome-associated,Secreted Factors
E9PQ08,CSF1,Matrisome-associated,Secreted Factors
H7BY18,CSF1,Matrisome-associated,Secreted Factors
P09603,CSF1,Matrisome-associated,Secreted Factors
P04141,CSF2,Matrisome-associated,Secreted Factors
J3KTH8,CSF3,Matrisome-associated,Secreted Factors
J3QRD4,CSF3,Matrisome-associated,Secreted Factors
J3QRX2,CSF3,Matrisome-associated,Secreted Factors
P09919,CSF3,Matrisome-associated,Secreted Factors
Q8N4W3,CSF3,Matrisome-associated,Secreted Factors
A6NFB4,CSH1,Matrisome-associated,Secreted Factors
B1A4H2,CSH1,Matrisome-associated,Secreted Factors
P0DML2,CSH1,Matrisome-associated,Secreted Factors
A6NIT4,CSH2,Matrisome-associated,Secreted Factors
B1A4H9,CSH2,Matrisome-associated,Secreted Factors
H0YM39,CSH2,Matrisome-associated,Secreted Factors
P0DML3,CSH2,Matrisome-associated,Secreted Factors
H0YKQ4,CSHL1,Matrisome-associated,Secreted Factors
H7C3R7,CSHL1,Matrisome-associated,Secreted Factors
J3QT06,CSHL1,Matrisome-associated,Secreted Factors
Q14406,CSHL1,Matrisome-associated,Secreted Factors
Q16619,CTF1,Matrisome-associated,Secreted Factors
H3BSR6,CX3CL1,Matrisome-associated,Secreted Factors
H3BV86,CX3CL1,Matrisome-associated,Secreted Factors
J3QRA1,CX3CL1,Matrisome-associated,Secreted Factors
P78423,CX3CL1,Matrisome-associated,Secreted Factors
P09341,CXCL1,Matrisome-associated,Secreted Factors
P02778,CXCL10,Matrisome-associated,Secreted Factors
O14625,CXCL11,Matrisome-associated,Secreted Factors
P48061,CXCL12,Matrisome-associated,Secreted Factors
O43927,CXCL13,Matrisome-associated,Secreted Factors
O95715,CXCL14,Matrisome-associated,Secreted Factors
P19875,CXCL2,Matrisome-associated,Secreted Factors
P19876,CXCL3,Matrisome-associated,Secreted Factors
P42830,CXCL5,Matrisome-associated,Secreted Factors
D6RF92,CXCL6,Matrisome-associated,Secreted Factors
P80162,CXCL6,Matrisome-associated,Secreted Factors
C9J4T6,CXCL8,Matrisome-associated,Secreted Factors
P10145,CXCL8,Matrisome-associated,Secreted Factors
Q07325,CXCL9,Matrisome-associated,Secreted Factors
O43323,DHH,Matrisome-associated,Secreted Factors
Q14213,EBI3,Matrisome-associated,Secreted Factors
D6RA95,EDA,Matrisome-associated,Secreted Factors
Q92838,EDA,Matrisome-associated,Secreted Factors
P01133,EGF,Matrisome-associated,Secreted Factors
Q8IUX8,EGFL6,Matrisome-associated,Secreted Factors
Q9UHF1,EGFL7,Matrisome-associated,Secreted Factors
R4GMT3,EGFL7,Matrisome-associated,Secreted Factors
Q5JP22,EGFL8,Matrisome-associated,Secreted Factors
Q99944,EGFL8,Matrisome-associated,Secreted Factors
A0PK19,EPGN,Matrisome-associated,Secreted Factors
H3BM13,EPGN,Matrisome-associated,Secreted Factors
Q6UW88,EPGN,Matrisome-associated,Secreted Factors
P01588,EPO,Matrisome-associated,Secreted Factors
O14944,EREG,Matrisome-associated,Secreted Factors
P48023,FASLG,Matrisome-associated,Secreted Factors
B5MCF4,FGF1,Matrisome-associated,Secreted Factors
C9JDC5,FGF1,Matrisome-associated,Secreted Factors
C9JUP6,FGF1,Matrisome-associated,Secreted Factors
P05230,FGF1,Matrisome-associated,Secreted Factors
D6RG33,FGF10,Matrisome-associated,Secreted Factors
O15520,FGF10,Matrisome-associated,Secreted Factors
I3L4N4,FGF11,Matrisome-associated,Secreted Factors
Q92914,FGF11,Matrisome-associated,Secreted Factors
C9JEN8,FGF12,Matrisome-associated,Secreted Factors
C9JIN3,FGF12,Matrisome-associated,Secreted Factors
C9JUK8,FGF12,Matrisome-associated,Secreted Factors
H7C1L8,FGF12,Matrisome-associated,Secreted Factors
P61328,FGF12,Matrisome-associated,Secreted Factors
B1AJW0,FGF13,Matrisome-associated,Secreted Factors
B1AK17,FGF13,Matrisome-associated,Secreted Factors
B1B1H9,FGF13,Matrisome-associated,Secreted Factors
Q92913,FGF13,Matrisome-associated,Secreted Factors
Q92915,FGF14,Matrisome-associated,Secreted Factors
H0Y5L6,FGF16,Matrisome-associated,Secreted Factors
O43320,FGF16,Matrisome-associated,Secreted Factors
O60258,FGF17,Matrisome-associated,Secreted Factors
O76093,FGF18,Matrisome-associated,Secreted Factors
O95750,FGF19,Matrisome-associated,Secreted Factors
P09038,FGF2,Matrisome-associated,Secreted Factors
H0YAT9,FGF20,Matrisome-associated,Secreted Factors
Q9NP95,FGF20,Matrisome-associated,Secreted Factors
Q9NSA1,FGF21,Matrisome-associated,Secreted Factors
K7ELB9,FGF22,Matrisome-associated,Secreted Factors
O60371,FGF22,Matrisome-associated,Secreted Factors
Q9HCT0,FGF22,Matrisome-associated,Secreted Factors
Q9GZV9,FGF23,Matrisome-associated,Secreted Factors
P11487,FGF3,Matrisome-associated,Secreted Factors
P08620,FGF4,Matrisome-associated,Secreted Factors
H0Y9E2,FGF5,Matrisome-associated,Secreted Factors
P12034,FGF5,Matrisome-associated,Secreted Factors
H0YGZ9,FGF6,Matrisome-associated,Secreted Factors
P10767,FGF6,Matrisome-associated,Secreted Factors
H0YNE7,FGF7,Matrisome-associated,Secreted Factors
P21781,FGF7,Matrisome-associated,Secreted Factors
P55075,FGF8,Matrisome-associated,Secreted Factors
R4GMQ3,FGF8,Matrisome-associated,Secreted Factors
P31371,FGF9,Matrisome-associated,Secreted Factors
Q14512,FGFBP1,Matrisome-associated,Secreted Factors
Q9BYJ0,FGFBP2,Matrisome-associated,Secreted Factors
Q8TAT2,FGFBP3,Matrisome-associated,Secreted Factors
O43915,FIGF,Matrisome-associated,Secreted Factors
P20930,FLG,Matrisome-associated,Secreted Factors
Q5D862,FLG2,Matrisome-associated,Secreted Factors
M0QXI0,FLT3LG,Matrisome-associated,Secreted Factors
M0QYM9,FLT3LG,Matrisome-associated,Secreted Factors
M0R2K0,FLT3LG,Matrisome-associated,Secreted Factors
M0R3A6,FLT3LG,Matrisome-associated,Secreted Factors
P49771,FLT3LG,Matrisome-associated,Secreted Factors
Q92765,FRZB,Matrisome-associated,Secreted Factors
H0YA75,FST,Matrisome-associated,Secreted Factors
H0YAF9,FST,Matrisome-associated,Secreted Factors
P19883,FST,Matrisome-associated,Secreted Factors
C9J5G4,FSTL1,Matrisome-associated,Secreted Factors
H7C4W4,FSTL1,Matrisome-associated,Secreted Factors
Q12841,FSTL1,Matrisome-associated,Secreted Factors
K7EM71,FSTL3,Matrisome-associated,Secreted Factors
K7ES54,FSTL3,Matrisome-associated,Secreted Factors
O95633,FSTL3,Matrisome-associated,Secreted Factors
P27539,GDF1,Matrisome-associated,Secreted Factors
P55107,GDF10,Matrisome-associated,Secreted Factors
H0YI30,GDF11,Matrisome-associated,Secreted Factors
O95390,GDF11,Matrisome-associated,Secreted Factors
Q99988,GDF15,Matrisome-associated,Secreted Factors
Q9UK05,GDF2,Matrisome-associated,Secreted Factors
Q9NR23,GDF3,Matrisome-associated,Secreted Factors
P43026,GDF5,Matrisome-associated,Secreted Factors
Q6KF10,GDF6,Matrisome-associated,Secreted Factors
Q7Z4P5,GDF7,Matrisome-associated,Secreted Factors
O60383,GDF9,Matrisome-associated,Secreted Factors
P39905,GDNF,Matrisome-associated,Secreted Factors
B1A4G9,GH1,Matrisome-associated,Secreted Factors
P01241,GH1,Matrisome-associated,Secreted Factors
P01242,GH2,Matrisome-associated,Secreted Factors
Q99075,HBEGF,Matrisome-associated,Secreted Factors
A6NEM2,HCFC1,Matrisome-associated,Secreted Factors
H7C1C4,HCFC1,Matrisome-associated,Secreted Factors
P51610,HCFC1,Matrisome-associated,Secreted Factors
C0H5X3,HCFC2,Matrisome-associated,Secreted Factors
F8VU09,HCFC2,Matrisome-associated,Secreted Factors
Q9Y5Z7,HCFC2,Matrisome-associated,Secreted Factors
C9JDP4,HGF,Matrisome-associated,Secreted Factors
C9JJ35,HGF,Matrisome-associated,Secreted Factors
C9JS80,HGF,Matrisome-associated,Secreted Factors
C9WSJ3,HGF,Matrisome-associated,Secreted Factors
P14210,HGF,Matrisome-associated,Secreted Factors
D6RAR4,HGFAC,Matrisome-associated,Secreted Factors
Q04756,HGFAC,Matrisome-associated,Secreted Factors
Q96QV1,HHIP,Matrisome-associated,Secreted Factors
Q86YZ3,HRNR,Matrisome-associated,Secreted Factors
P01562,IFNA1,Matrisome-associated,Secreted Factors
P01566,IFNA10,Matrisome-associated,Secreted Factors
E9PB07,IFNA13,Matrisome-associated,Secreted Factors
P01562,IFNA13,Matrisome-associated,Secreted Factors
P01570,IFNA14,Matrisome-associated,Secreted Factors
P05015,IFNA16,Matrisome-associated,Secreted Factors
P01571,IFNA17,Matrisome-associated,Secreted Factors
P01563,IFNA2,Matrisome-associated,Secreted Factors
P01568,IFNA21,Matrisome-associated,Secreted Factors
P05014,IFNA4,Matrisome-associated,Secreted Factors
P01569,IFNA5,Matrisome-associated,Secreted Factors
P05013,IFNA6,Matrisome-associated,Secreted Factors
P01567,IFNA7,Matrisome-associated,Secreted Factors
P32881,IFNA8,Matrisome-associated,Secreted Factors
P01574,IFNB1,Matrisome-associated,Secreted Factors
Q86WN2,IFNE,Matrisome-associated,Secreted Factors
P01579,IFNG,Matrisome-associated,Secreted Factors
Q9P0W0,IFNK,Matrisome-associated,Secreted Factors
P05000,IFNW1,Matrisome-associated,Secreted Factors
P05019,IGF1,Matrisome-associated,Secreted Factors
Q13429,IGF1,Matrisome-associated,Secreted Factors
P01344,IGF2,Matrisome-associated,Secreted Factors
Q14623,IHH,Matrisome-associated,Secreted Factors
P22301,IL10,Matrisome-associated,Secreted Factors
K7ESD5,IL11,Matrisome-associated,Secreted Factors
P20809,IL11,Matrisome-associated,Secreted Factors
E7ENE1,IL12A,Matrisome-associated,Secreted Factors
E9PGR3,IL12A,Matrisome-associated,Secreted Factors
P29459,IL12A,Matrisome-associated,Secreted Factors
P29460,IL12B,Matrisome-associated,Secreted Factors
P35225,IL13,Matrisome-associated,Secreted Factors
P40933,IL15,Matrisome-associated,Secreted Factors
H0YKB7,IL16,Matrisome-associated,Secreted Factors
H0YLB1,IL16,Matrisome-associated,Secreted Factors
H0YLH9,IL16,Matrisome-associated,Secreted Factors
H0YLL1,IL16,Matrisome-associated,Secreted Factors
H3BN12,IL16,Matrisome-associated,Secreted Factors
H3BT15,IL16,Matrisome-associated,Secreted Factors
H3BVH5,IL16,Matrisome-associated,Secreted Factors
Q14005,IL16,Matrisome-associated,Secreted Factors
Q16552,IL17A,Matrisome-associated,Secreted Factors
Q9UHF5,IL17B,Matrisome-associated,Secreted Factors
Q9P0M4,IL17C,Matrisome-associated,Secreted Factors
Q8TAD2,IL17D,Matrisome-associated,Secreted Factors
Q96PD4,IL17F,Matrisome-associated,Secreted Factors
Q14116,IL18,Matrisome-associated,Secreted Factors
Q9UHD0,IL19,Matrisome-associated,Secreted Factors
P01583,IL1A,Matrisome-associated,Secreted Factors
C9JSC2,IL1B,Matrisome-associated,Secreted Factors
C9JVK0,IL1B,Matrisome-associated,Secreted Factors
C9JWV2,IL1B,Matrisome-associated,Secreted Factors
P01584,IL1B,Matrisome-associated,Secreted Factors
H7BXV3,IL1F10,Matrisome-associated,Secreted Factors
Q8WWZ1,IL1F10,Matrisome-associated,Secreted Factors
C9JTH1,IL1F5,Matrisome-associated,Secreted Factors
Q9UBH0,IL1F5,Matrisome-associated,Secreted Factors
U3KPW9,IL1F5,Matrisome-associated,Secreted Factors
Q9UHA7,IL1F6,Matrisome-associated,Secreted Factors
Q9NZH6,IL1F7,Matrisome-associated,Secreted Factors
Q9NZH7,IL1F8,Matrisome-associated,Secreted Factors
C9J681,IL1F9,Matrisome-associated,Secreted Factors
Q9NZH8,IL1F9,Matrisome-associated,Secreted Factors
P18510,IL1RN,Matrisome-associated,Secreted Factors
P60568,IL2,Matrisome-associated,Secreted Factors
Q9NYY1,IL20,Matrisome-associated,Secreted Factors
Q9GZX6,IL22,Matrisome-associated,Secreted Factors
Q9NPF7,IL23A,Matrisome-associated,Secreted Factors
E7ER64,IL24,Matrisome-associated,Secreted Factors
E7ETP6,IL24,Matrisome-associated,Secreted Factors
Q13007,IL24,Matrisome-associated,Secreted Factors
Q9H293,IL25,Matrisome-associated,Secreted Factors
Q9NPH9,IL26,Matrisome-associated,Secreted Factors
P08700,IL3,Matrisome-associated,Secreted Factors
H3BPB7,IL34,Matrisome-associated,Secreted Factors
J3QQT3,IL34,Matrisome-associated,Secreted Factors
Q6ZMJ4,IL34,Matrisome-associated,Secreted Factors
P05112,IL4,Matrisome-associated,Secreted Factors
C9JQP9,IL5,Matrisome-associated,Secreted Factors
P05113,IL5,Matrisome-associated,Secreted Factors
B4DNQ5,IL6,Matrisome-associated,Secreted Factors
B4DNV3,IL6,Matrisome-associated,Secreted Factors
B5MC14,IL6,Matrisome-associated,Secreted Factors
B5MC21,IL6,Matrisome-associated,Secreted Factors
B5MCZ3,IL6,Matrisome-associated,Secreted Factors
C9J5B0,IL6,Matrisome-associated,Secreted Factors
P05231,IL6,Matrisome-associated,Secreted Factors
P13232,IL7,Matrisome-associated,Secreted Factors
Q5FBY3,IL7,Matrisome-associated,Secreted Factors
Q5FBY6,IL7,Matrisome-associated,Secreted Factors
P15248,IL9,Matrisome-associated,Secreted Factors
P05111,INHA,Matrisome-associated,Secreted Factors
P08476,INHBA,Matrisome-associated,Secreted Factors
P09529,INHBB,Matrisome-associated,Secreted Factors
P55103,INHBC,Matrisome-associated,Secreted Factors
F8VNP4,INHBE,Matrisome-associated,Secreted Factors
P58166,INHBE,Matrisome-associated,Secreted Factors
A6XGL2,INS,Matrisome-associated,Secreted Factors
C9JNR5,INS,Matrisome-associated,Secreted Factors
P01308,INS,Matrisome-associated,Secreted Factors
F8WCM5,INS-IGF2,Matrisome-associated,Secreted Factors
M0QXQ3,INSL3,Matrisome-associated,Secreted Factors
P51460,INSL3,Matrisome-associated,Secreted Factors
Q9Y5Q6,INSL5,Matrisome-associated,Secreted Factors
Q9Y581,INSL6,Matrisome-associated,Secreted Factors
B1AKI9,ISM1,Matrisome-associated,Secreted Factors
G3V2Q2,ISM2,Matrisome-associated,Secreted Factors
G3XAI3,ISM2,Matrisome-associated,Secreted Factors
H7C4M8,ISM2,Matrisome-associated,Secreted Factors
H7C5B3,ISM2,Matrisome-associated,Secreted Factors
Q6H9L7,ISM2,Matrisome-associated,Secreted Factors
P21583,KITLG,Matrisome-associated,Secreted Factors
S4R384,KITLG,Matrisome-associated,Secreted Factors
S4R442,KITLG,Matrisome-associated,Secreted Factors
O75610,LEFTY1,Matrisome-associated,Secreted Factors
O00292,LEFTY2,Matrisome-associated,Secreted Factors
P41159,LEP,Matrisome-associated,Secreted Factors
P15018,LIF,Matrisome-associated,Secreted Factors
P01374,LTA,Matrisome-associated,Secreted Factors
Q06643,LTB,Matrisome-associated,Secreted Factors
C9JHA4,MDK,Matrisome-associated,Secreted Factors
E9PLM6,MDK,Matrisome-associated,Secreted Factors
E9PPJ5,MDK,Matrisome-associated,Secreted Factors
P21741,MDK,Matrisome-associated,Secreted Factors
Q96KG7,MEGF10,Matrisome-associated,Secreted Factors
A6BM72,MEGF11,Matrisome-associated,Secreted Factors
C9JYE7,MEGF11,Matrisome-associated,Secreted Factors
H3BR81,MEGF11,Matrisome-associated,Secreted Factors
H7C557,MEGF6,Matrisome-associated,Secreted Factors
H7C5N9,MEGF6,Matrisome-associated,Secreted Factors
O75095,MEGF6,Matrisome-associated,Secreted Factors
F5GZG7,MEGF8,Matrisome-associated,Secreted Factors
M0QZL2,MEGF8,Matrisome-associated,Secreted Factors
M0R0Q0,MEGF8,Matrisome-associated,Secreted Factors
Q7Z7M0,MEGF8,Matrisome-associated,Secreted Factors
C9J1K8,MEGF9,Matrisome-associated,Secreted Factors
Q9H1U4,MEGF9,Matrisome-associated,Secreted Factors
F5H6L8,MST1,Matrisome-associated,Secreted Factors
G3XAK1,MST1,Matrisome-associated,Secreted Factors
H7C0F8,MST1,Matrisome-associated,Secreted Factors
P26927,MST1,Matrisome-associated,Secreted Factors
Q2TV78,MST1L,Matrisome-associated,Secreted Factors
O14793,MSTN,Matrisome-associated,Secreted Factors
P01138,NGF,Matrisome-associated,Secreted Factors
H7C0E4,NODAL,Matrisome-associated,Secreted Factors
Q96S42,NODAL,Matrisome-associated,Secreted Factors
B7Z1E3,NRG1,Matrisome-associated,Secreted Factors
E5RHP6,NRG1,Matrisome-associated,Secreted Factors
E5RHQ1,NRG1,Matrisome-associated,Secreted Factors
E5RIG8,NRG1,Matrisome-associated,Secreted Factors
E7EX30,NRG1,Matrisome-associated,Secreted Factors
F8W9E3,NRG1,Matrisome-associated,Secreted Factors
H0YBA3,NRG1,Matrisome-associated,Secreted Factors
H0YCP0,NRG1,Matrisome-associated,Secreted Factors
H0YDC2,NRG1,Matrisome-associated,Secreted Factors
H7BXY2,NRG1,Matrisome-associated,Secreted Factors
Q02297,NRG1,Matrisome-associated,Secreted Factors
F5GZS7,NRG2,Matrisome-associated,Secreted Factors
F5H0N2,NRG2,Matrisome-associated,Secreted Factors
O14511,NRG2,Matrisome-associated,Secreted Factors
D9ZHQ3,NRG3,Matrisome-associated,Secreted Factors
D9ZHQ6,NRG3,Matrisome-associated,Secreted Factors
D9ZHQ7,NRG3,Matrisome-associated,Secreted Factors
D9ZHQ8,NRG3,Matrisome-associated,Secreted Factors
P56975,NRG3,Matrisome-associated,Secreted Factors
R4GNI6,NRG3,Matrisome-associated,Secreted Factors
E9PJI7,NRG4,Matrisome-associated,Secreted Factors
F8W729,NRG4,Matrisome-associated,Secreted Factors
H3BP63,NRG4,Matrisome-associated,Secreted Factors
Q0P6N6,NRG4,Matrisome-associated,Secreted Factors
Q7Z663,NRG4,Matrisome-associated,Secreted Factors
Q8WWG1,NRG4,Matrisome-associated,Secreted Factors
Q99748,NRTN,Matrisome-associated,Secreted Factors
P20783,NTF3,Matrisome-associated,Secreted Factors
E7EP46,NTF4,Matrisome-associated,Secreted Factors
M0QZQ0,NTF4,Matrisome-associated,Secreted Factors
M0R0X2,NTF4,Matrisome-associated,Secreted Factors
P34130,NTF4,Matrisome-associated,Secreted Factors
B5MC70,OSM,Matrisome-associated,Secreted Factors
B5MCX1,OSM,Matrisome-associated,Secreted Factors
P13725,OSM,Matrisome-associated,Secreted Factors
H7BYW6,PDGFA,Matrisome-associated,Secreted Factors
P04085,PDGFA,Matrisome-associated,Secreted Factors
A9UJN9,PDGFB,Matrisome-associated,Secreted Factors
A9UJP0,PDGFB,Matrisome-associated,Secreted Factors
P01127,PDGFB,Matrisome-associated,Secreted Factors
B4E3A5,PDGFC,Matrisome-associated,Secreted Factors
H0Y9N2,PDGFC,Matrisome-associated,Secreted Factors
J3KN71,PDGFC,Matrisome-associated,Secreted Factors
Q9NRA1,PDGFC,Matrisome-associated,Secreted Factors
H0YD37,PDGFD,Matrisome-associated,Secreted Factors
Q9GZP0,PDGFD,Matrisome-associated,Secreted Factors
P02776,PF4,Matrisome-associated,Secreted Factors
P10720,PF4V1,Matrisome-associated,Secreted Factors
G3XA84,PGF,Matrisome-associated,Secreted Factors
P49763,PGF,Matrisome-associated,Secreted Factors
C9JMK5,PIK3IP1,Matrisome-associated,Secreted Factors
Q96FE7,PIK3IP1,Matrisome-associated,Secreted Factors
P02775,PPBP,Matrisome-associated,Secreted Factors
P01236,PRL,Matrisome-associated,Secreted Factors
M0QYK2,PSPN,Matrisome-associated,Secreted Factors
O60542,PSPN,Matrisome-associated,Secreted Factors
C9JR52,PTN,Matrisome-associated,Secreted Factors
P21246,PTN,Matrisome-associated,Secreted Factors
Q6XPR3,RPTN,Matrisome-associated,Secreted Factors
P23297,S100A1,Matrisome-associated,Secreted Factors
Q5T7Y4,S100A1,Matrisome-associated,Secreted Factors
Q5T7Y5,S100A1,Matrisome-associated,Secreted Factors
Q5T7Y6,S100A1,Matrisome-associated,Secreted Factors
P60903,S100A10,Matrisome-associated,Secreted Factors
P31949,S100A11,Matrisome-associated,Secreted Factors
P80511,S100A12,Matrisome-associated,Secreted Factors
Q99584,S100A13,Matrisome-associated,Secreted Factors
Q9HCY8,S100A14,Matrisome-associated,Secreted Factors
Q96FQ6,S100A16,Matrisome-associated,Secreted Factors
P29034,S100A2,Matrisome-associated,Secreted Factors
Q5RHS7,S100A2,Matrisome-associated,Secreted Factors
R4GN49,S100A2,Matrisome-associated,Secreted Factors
P33764,S100A3,Matrisome-associated,Secreted Factors
P26447,S100A4,Matrisome-associated,Secreted Factors
P33763,S100A5,Matrisome-associated,Secreted Factors
Q52LE7,S100A5,Matrisome-associated,Secreted Factors
P06703,S100A6,Matrisome-associated,Secreted Factors
R4GN98,S100A6,Matrisome-associated,Secreted Factors
P31151,S100A7,Matrisome-associated,Secreted Factors
Q86SG5,S100A7A,Matrisome-associated,Secreted Factors
Q5SY68,S100A7L2,Matrisome-associated,Secreted Factors
P05109,S100A8,Matrisome-associated,Secreted Factors
P06702,S100A9,Matrisome-associated,Secreted Factors
A8MRB1,S100B,Matrisome-associated,Secreted Factors
P04271,S100B,Matrisome-associated,Secreted Factors
P29377,S100G,Matrisome-associated,Secreted Factors
P25815,S100P,Matrisome-associated,Secreted Factors
Q8WXG8,S100Z,Matrisome-associated,Secreted Factors
B1AH90,SCUBE1,Matrisome-associated,Secreted Factors
H0Y4Y9,SCUBE1,Matrisome-associated,Secreted Factors
Q8IWY4,SCUBE1,Matrisome-associated,Secreted Factors
E7EQD6,SCUBE2,Matrisome-associated,Secreted Factors
H0YD28,SCUBE2,Matrisome-associated,Secreted Factors
H0YDN3,SCUBE2,Matrisome-associated,Secreted Factors
H0YEB3,SCUBE2,Matrisome-associated,Secreted Factors
H0YEI5,SCUBE2,Matrisome-associated,Secreted Factors
Q9NQ36,SCUBE2,Matrisome-associated,Secreted Factors
Q8IX30,SCUBE3,Matrisome-associated,Secreted Factors
Q6ZSL4,SFRP1,Matrisome-associated,Secreted Factors
Q8N474,SFRP1,Matrisome-associated,Secreted Factors
Q96HF1,SFRP2,Matrisome-associated,Secreted Factors
C9JMJ2,SFRP4,Matrisome-associated,Secreted Factors
Q6FHJ7,SFRP4,Matrisome-associated,Secreted Factors
Q5T4F7,SFRP5,Matrisome-associated,Secreted Factors
C9JC48,SHH,Matrisome-associated,Secreted Factors
F8WB84,SHH,Matrisome-associated,Secreted Factors
F8WEH4,SHH,Matrisome-associated,Secreted Factors
Q15465,SHH,Matrisome-associated,Secreted Factors
Q07283,TCHH,Matrisome-associated,Secreted Factors
Q5QJ38,TCHHL1,Matrisome-associated,Secreted Factors
F5H1T8,TDGF1,Matrisome-associated,Secreted Factors
P13385,TDGF1,Matrisome-associated,Secreted Factors
E7EPT6,TGFA,Matrisome-associated,Secreted Factors
F8VNR3,TGFA,Matrisome-associated,Secreted Factors
F8WA74,TGFA,Matrisome-associated,Secreted Factors
H0Y6S5,TGFA,Matrisome-associated,Secreted Factors
P01135,TGFA,Matrisome-associated,Secreted Factors
M0R2S0,TGFB1,Matrisome-associated,Secreted Factors
P01137,TGFB1,Matrisome-associated,Secreted Factors
P61812,TGFB2,Matrisome-associated,Secreted Factors
P10600,TGFB3,Matrisome-associated,Secreted Factors
Q8WV88,TGFB3,Matrisome-associated,Secreted Factors
F8W6L1,THPO,Matrisome-associated,Secreted Factors
P40225,THPO,Matrisome-associated,Secreted Factors
P01375,TNF,Matrisome-associated,Secreted Factors
H7C246,TNFSF10,Matrisome-associated,Secreted Factors
P50591,TNFSF10,Matrisome-associated,Secreted Factors
O14788,TNFSF11,Matrisome-associated,Secreted Factors
C0H5Y4,TNFSF12,Matrisome-associated,Secreted Factors
O43508,TNFSF12,Matrisome-associated,Secreted Factors
